Nome,Coluna,Variavel,Apath 4.00,Tipo,CompWhere,Tamanho banco,Apath tabela,Apath tabela pai
fq72322,n3q720652,id,${chaveDeAcesso},String,,60,nfeProc/NFe/infNFe/autXML,
fq72322,n3q720849,nSequencia,${sequence},Integer,,60,,
fq72322,n3q720804,cnpj,nfeProc/NFe/infNFe/autXML/CNPJ,String,,50,,
fq72322,n3q720805,cpf,nfeProc/NFe/infNFe/autXML/CPF,Integer,,10,,
fq72323,n3q720652,id,${chaveDeAcesso},String,,9,nfeProc/NFe/infNFe/det/prod/detExport,nfeProc/NFe/infNFe/det
fq72323,n3q720653,nItem,${parentSequence},String,,7,,
fq72323,n3q720849,nSequencia,${sequence},Integer,,21,,
fq72323,n3q721213,nDraw,nfeProc/NFe/infNFe/det/prod/detExport/nDraw,Decimal,,21,,
fq72323,n3q721215,nRE,nfeProc/NFe/infNFe/det/prod/detExport/exportInd/nRE,Decimal,,21,,
fq72323,n3q721216,chNFe,nfeProc/NFe/infNFe/det/prod/detExport/exportInd/chNFe,String,,15,,
fq72323,n3q721217,qExport,nfeProc/NFe/infNFe/det/prod/detExport/exportInd/qExport,Decimal,,15,,
fq72325,n3q720652,id,${chaveDeAcesso},String,,15,nfeProc/NFe/infNFe/pag/detPag,
fq72325,n3q720849,nSequencia,${sequence},Integer,,50,,
fq72325,n3q721248,tPag,nfeProc/NFe/infNFe/pag/detPag/tPag,Integer,,10,,
fq72325,n3q721249,vPag,nfeProc/NFe/infNFe/pag/detPag/vPag,Decimal,,2,,
fq72325,n3q721250,cnpj,nfeProc/NFe/infNFe/pag/detPag/card/CNPJ,String,,14,,
fq72325,n3q721251,tBand,nfeProc/NFe/infNFe/pag/detPag/card/tBand,Integer,,50,,
fq72325,n3q721252,cAut,nfeProc/NFe/infNFe/pag/detPag/card/cAut,Integer,,10,,
fq72325,n3q722423,vTroco,nfeProc/NFe/infNFe/pag/vTroco,Decimal,,60,,
fq72325,n3q722422,tpIntegra,nfeProc/NFe/infNFe/pag/detPag/card/tpIntegra,Decimal,,13,,
fq72325,n3q720705,indPag,nfeProc/NFe/infNFe/pag/detPag/indPag,Decimal,,50,,
fq72326,n3q720652,id,${chaveDeAcesso},String,,3,nfeProc/NFe/infNFe/exporta,
fq72326,n3q720849,nSequencia,${sequence},Integer,,10,,
fq72326,n3q721253,ufSaidaPais,nfeProc/NFe/infNFe/exporta/UFSaidaPais,String,,20,,
fq72326,n3q721254,xLocExporta,nfeProc/NFe/infNFe/exporta/xLocExporta,String,,11,,
fq72326,n3q721255,xLocDespacho,nfeProc/NFe/infNFe/exporta/xLocDespacho,String,,10,,
fq72327,n3q720652,id,${chaveDeAcesso},String,,10,nfeProc/NFe/infNFe/cana,
fq72327,n3q720849,nSequencia,${sequence},Integer,,20,,
fq72327,n3q721256,safra,nfeProc/NFe/infNFe/cana/safra,String,,50,,
fq72327,n3q721257,ref,nfeProc/NFe/infNFe/cana/ref,String,,7,,
fq72327,n3q721260,qTotMes,nfeProc/NFe/infNFe/cana/qTotMes,Decimal,,11,,
fq72327,n3q721261,qTotAnt,nfeProc/NFe/infNFe/cana/qTotAnt,Decimal,,20,,
fq72327,n3q721262,qTotGer,nfeProc/NFe/infNFe/cana/qTotGer,Decimal,,14,,
fq72327,n3q721265,vFor,nfeProc/NFe/infNFe/cana/vFor,Decimal,,60,,
fq72327,n3q721266,vTotDed,nfeProc/NFe/infNFe/cana/vTotDed,Decimal,,60,,
fq72327,n3q721267,vLiqFor,nfeProc/NFe/infNFe/cana/vLiqFor,Decimal,,2,,
fq72328,n3q720652,id,${chaveDeAcesso},String,,250,nfeProc/NFe/infNFe/cana/forDia,
fq72328,n3q720849,nSequencia,${sequence},Integer,,20,,
fq72328,n3q721258,dia,nfeProc/NFe/infNFe/cana/forDia/@dia,String,,14,,
fq72328,n3q721259,qtde,nfeProc/NFe/infNFe/cana/forDia/qtde,Decimal,,11,,
fq72329,n3q720652,id,${chaveDeAcesso},String,,2,nfeProc/NFe/infNFe/cana/deduc,
fq72329,n3q720849,nSequencia,${sequence},Integer,,1,,
fq72329,n3q721263,xDed,nfeProc/NFe/infNFe/cana/deduc/xDed,String,,20,,
fq72329,n3q721264,vDed,nfeProc/NFe/infNFe/cana/deduc/vDed,String,,15,,
fq72334,nsq720652,id,${chaveDeAcesso},String,,20,nfeProc/NFe/infNFe/det/prod/rastro,nfeProc/NFe/infNFe/det
fq72334,nsq720653,nItem,${parentSequence},String,,20,,
fq72334,nsq720849,nSequencia,${sequence},Integer,,3,,
fq72334,nsq722400,nLote,nfeProc/NFe/infNFe/det/prod/rastro/nLote,String,,20,,
fq72334,nsq722401,qLote,nfeProc/NFe/infNFe/det/prod/rastro/qLote,Decimal,,20,,
fq72334,nsq722402,dFab,nfeProc/NFe/infNFe/det/prod/rastro/dFab,String,,20,,
fq72334,nsq722403,dVal,nfeProc/NFe/infNFe/det/prod/rastro/dVal,String,,20,,
fq72334,nsq722433,caGreg,nfeProc/NFe/infNFe/det/prod/rastro/cAgreg,Integer,,20,,
